    module	       row	   crystal	     theta	       phi	       tau	      posX	      posY	      posZ	       pDz	    pTheta	      pPhi	      pDy1	      pDx1	      pDx2	     pAlp1	      pDy2	      pDx3	      pDx4	     pAlp2
         #	         #	         #	     [deg]	     [deg]	     [deg]	      [mm]	      [mm]	      [mm]	      [mm]	     [deg]	     [deg]	      [mm]	      [mm]	      [mm]	     [deg]	      [mm]	      [mm]	      [mm]	     [deg]
         1	        51	         1	        90	   99.3079	        90	  -125.982	   762.518	   15.4182	      0.02	   3.36832	    161.49	        10	         5	         5	         0	        10	         5	         5	         0
         1	        51	         2	        90	   97.0897	        90	  -96.3824	   766.821	   15.4182	      0.02	   3.39629	   161.648	        10	         5	         5	         0	        10	         5	         5	         0
         1	        51	         3	        90	   94.8713	        90	  -66.6378	   769.976	   15.4182	      0.02	   3.42415	   161.803	        10	         5	         5	         0	        10	         5	         5	         0
         1	        51	         4	        90	    92.653	        90	  -36.7926	   771.977	   15.4182	      0.02	   3.45208	   161.956	        10	         5	         5	         0	        10	         5	         5	         0
         1	        51	         5	        90	   90.4345	        90	  -6.89155	   772.822	   15.4182	      0.02	   3.47989	   162.105	        10	         5	         5	         0	        10	         5	         5	         0
         1	        51	         6	        90	   88.2161	        90	   23.0206	    772.51	   15.4182	      0.02	   3.50776	   162.253	        10	         5	         5	         0	        10	         5	         5	         0
         1	        51	         7	        90	   85.9975	        90	   52.8989	    771.04	   15.4182	      0.02	    3.5355	   162.397	        10	         5	         5	         0	        10	         5	         5	         0
         1	        51	         8	        90	   83.7789	        90	   82.6988	   768.414	   15.4182	      0.02	    3.5633	   162.539	        10	         5	         5	         0	        10	         5	         5	         0
         1	        51	         9	        90	   81.5602	        90	   112.376	   764.638	   15.4182	      0.02	   3.59097	   162.678	        10	         5	         5	         0	        10	         5	         5	         0
         1	        51	        10	        90	   80.0424	        90	   141.897	   759.713	   15.4182	      0.02	   4.29761	   165.591	        10	         5	         5	 0.0293717	        10	         5	         5	 0.0293717
