module	row	crystal	theta	phi	tau	posX		posY	posZ	pDz	pTheta	pPhi	pDy1	pDx1	pDx2	pAlp1	pDy2	pDx3	pDx4	pAlp2
#	#	#	[deg]	[deg]	[deg]	[mm]		[mm]	[mm]	[mm]	[deg]	[deg]	[mm]	[mm]	[mm]	[mm]	[mm]	[mm]	[mm]	[mm]

5	2	1	0	0	0	-165.15  	55.05	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	3	1	0	0	0	-275.25  	55.05	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	4	1	0	0	0	-385.35  	55.05	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	5	1	0	0	0	-495.45  	55.05	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	6	1	0	0	0	-605.55  	55.05	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	7	1	0	0	0	-715.65  	55.05	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	8	1	0	0	0	-825.75  	55.05	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	9	1	0	0	0	-935.85  	55.05	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	10	1	0	0	0	-1045.95  	55.05	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	11	1	0	0	0	-1156.05  	55.05	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	12	1	0	0	0	-1266.15  	55.05	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	13	1	0	0	0	-1376.25  	55.05	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	14	1	0	0	0	-1486.35  	55.05	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	1	2	0	0	0	-55.05  	165.15	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	2	2	0	0	0	-165.15  	165.15	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	3	2	0	0	0	-275.25  	165.15	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	4	2	0	0	0	-385.35  	165.15	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	5	2	0	0	0	-495.45  	165.15	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	6	2	0	0	0	-605.55  	165.15	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	7	2	0	0	0	-715.65  	165.15	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	8	2	0	0	0	-825.75  	165.15	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	9	2	0	0	0	-935.85  	165.15	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	10	2	0	0	0	-1045.95  	165.15	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	11	2	0	0	0	-1156.05  	165.15	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	12	2	0	0	0	-1266.15  	165.15	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	13	2	0	0	0	-1376.25  	165.15	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	14	2	0	0	0	-1486.35  	165.15	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	1	3	0	0	0	-55.05  	275.25	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	2	3	0	0	0	-165.15  	275.25	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	3	3	0	0	0	-275.25  	275.25	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	4	3	0	0	0	-385.35  	275.25	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	5	3	0	0	0	-495.45  	275.25	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	6	3	0	0	0	-605.55  	275.25	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	7	3	0	0	0	-715.65  	275.25	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	8	3	0	0	0	-825.75  	275.25	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	9	3	0	0	0	-935.85  	275.25	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	10	3	0	0	0	-1045.95  	275.25	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	11	3	0	0	0	-1156.05  	275.25	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
5	12	3	0	0	0	-1266.15  	275.25	6900	0.0375	0	0	55	55	55	0.1375	55	378	0	0.75
